priority,name,address,lat,lng,cuisine,google_maps_link,rating,review_count,added
0,Mawal,"Brussels, Belgium",50.8440685,4.4206956,Lebanese,"https://www.google.com/maps/search/Mawal+Brussels,+Belgium",,,
0,Gyroland,"Brussels, Belgium",50.8242941,4.5129806,Greek,"https://www.google.com/maps/search/Gyroland+Brussels,+Belgium",,,
0,Mykonos,"Brussels, Belgium",50.8472201,4.4497392,Greek,"https://www.google.com/maps/search/Mykonos+Brussels,+Belgium",,,
0,Na'Fura,"Brussels, Belgium",50.8249783,4.5120113,Lebanese,"https://www.google.com/maps/search/Na'Fura+Brussels,+Belgium",,,
0,La Med,"Brussels, Belgium",50.7875482,4.3762319,Lebanese,"https://www.google.com/maps/search/La+Med+Brussels,+Belgium",,,
0,Wine not?,"Brussels, Belgium",50.8443704,4.3831975,Greek,"https://www.google.com/maps/search/Wine+not?+Brussels,+Belgium",,,
0,HAU,"Brussels, Belgium",50.8312099,4.4547428,Vietnamese,"https://www.google.com/maps/search/HAU+Brussels,+Belgium",,,
0,Nem Saigon,"Brussels, Belgium",50.8437492,4.4125821,Vietnamese,"https://www.google.com/maps/search/Nem+Saigon+Brussels,+Belgium",,,
1,L'Ascoli,"Hector Henneaulaan 136, 1930, Zaventem",50.8801916,4.4689012,Italian,"https://www.google.com/maps/search/L'Ascoli+Hector+Henneaulaan+136,+1930,+Zaventem",,,
1,Station 3,"Brussels, Belgium",50.8664184,4.4527514,Chinese,"https://www.google.com/maps/search/Station+3+Brussels,+Belgium",,,
1,Domino's,"Grote Daalstraat 2, 1930, Zaventem",50.8789262,4.4727578,Italian,"https://www.google.com/maps/search/Domino's+Grote+Daalstraat+2,+1930,+Zaventem",,,
1,La Perla,"Leuvensesteenweg 496, 1930",50.8717468,4.4763063,Italian,"https://www.google.com/maps/search/La+Perla+Leuvensesteenweg+496,+1930",,,
1,Quick Zaventem Arrivals,1930,50.8976502,4.4838489,American,https://www.google.com/maps/search/Quick+Zaventem+Arrivals+1930,,,
1,Neuf Neuf Dragon,"Brussels, Belgium",50.8358731,4.3875467,Chinese,"https://www.google.com/maps/search/Neuf+Neuf+Dragon+Brussels,+Belgium",,,
1,'t Frietamientje,"Brussels, Belgium",50.9185118,4.5030419,Regional,"https://www.google.com/maps/search/'t+Frietamientje+Brussels,+Belgium",,,
1,Seven Wonders,"Brussels, Belgium",50.8633861,4.5160875,Brasserie,"https://www.google.com/maps/search/Seven+Wonders+Brussels,+Belgium",,,
1,Al Pronto,"Brussels, Belgium",50.8397469,4.4688001,Italian,"https://www.google.com/maps/search/Al+Pronto+Brussels,+Belgium",,,
1,MiTo,"Brussels, Belgium",50.8314039,4.4517421,Italian,"https://www.google.com/maps/search/MiTo+Brussels,+Belgium",,,
1,Pizzeria Da Toni,"Brussels, Belgium",50.8460048,4.4670511,Italian,"https://www.google.com/maps/search/Pizzeria+Da+Toni+Brussels,+Belgium",,,
1,De Spotter,"Luitenant Philippartstraat 49, 1820, Melsbroek",50.9092019,4.472722,Regional,"https://www.google.com/maps/search/De+Spotter+Luitenant+Philippartstraat+49,+1820,+Melsbroek",,,
1,Brasserie Streekebeek,"Brussels, Belgium",50.8633249,4.5154382,Regional,"https://www.google.com/maps/search/Brasserie+Streekebeek+Brussels,+Belgium",,,
1,San Tucci,"Prinses Josephine-Charlotteplein 8, 1950, Kraainem",50.8577544,4.4680154,Italian,"https://www.google.com/maps/search/San+Tucci+Prinses+Josephine-Charlotteplein+8,+1950,+Kraainem",,,
1,Hector Chicken,"Brussels, Belgium",50.8307399,4.3444688,Chicken,"https://www.google.com/maps/search/Hector+Chicken+Brussels,+Belgium",,,
1,'t hof van Hamme,"Hector Henneaulaan 64, 1930, Zaventem",50.8806709,4.4751452,Regional,"https://www.google.com/maps/search/'t+hof+van+Hamme+Hector+Henneaulaan+64,+1930,+Zaventem",,,
1,Ristorante la Renna,"Brussels, Belgium",50.870472,4.3951427,Italian,"https://www.google.com/maps/search/Ristorante+la+Renna+Brussels,+Belgium",,,
1,Yagura,"Brussels, Belgium",50.8082506,4.3706525,Japanese,"https://www.google.com/maps/search/Yagura+Brussels,+Belgium",,,
1,Lung Seng,"Brussels, Belgium",50.889457,4.4706097,Chinese,"https://www.google.com/maps/search/Lung+Seng+Brussels,+Belgium",,,
1,Pizza Hut,"Brussels, Belgium",50.844224,4.2695492,Italian,"https://www.google.com/maps/search/Pizza+Hut+Brussels,+Belgium",,,
1,Pizza Hut,"Brussels, Belgium",50.8136369,4.3385398,Italian,"https://www.google.com/maps/search/Pizza+Hut+Brussels,+Belgium",,,
1,Cinnamon Curry,"Brussels, Belgium",50.83697,4.3869688,Indian,"https://www.google.com/maps/search/Cinnamon+Curry+Brussels,+Belgium",,,
1,Miyako,"Brussels, Belgium",50.8376219,4.3866253,Japanese,"https://www.google.com/maps/search/Miyako+Brussels,+Belgium",,,
1,Kyoto food,"Brussels, Belgium",50.837656,4.3963788,Japanese,"https://www.google.com/maps/search/Kyoto+food+Brussels,+Belgium",,,
1,Knees to chin,"Brussels, Belgium",50.8387106,4.3978948,Asian,"https://www.google.com/maps/search/Knees+to+chin+Brussels,+Belgium",,,
1,Pizza Hut,"Brussels, Belgium",50.8799315,4.4729738,Italian,"https://www.google.com/maps/search/Pizza+Hut+Brussels,+Belgium",,,
1,'t Cuyperke,"Stationsstraat 19, 1930, Zaventem",50.8796052,4.472646,Belgian,"https://www.google.com/maps/search/'t+Cuyperke+Stationsstraat+19,+1930,+Zaventem",,,
1,La Frattoria,"Brussels, Belgium",50.8381348,4.3820268,Italian,"https://www.google.com/maps/search/La+Frattoria+Brussels,+Belgium",,,
1,Yuan Chinese Traiteur,"Brussels, Belgium",50.7838669,4.2925526,Chinese,"https://www.google.com/maps/search/Yuan+Chinese+Traiteur+Brussels,+Belgium",,,
1,Pizzeria Santa Maria,Fabriekstraat 138,50.7839729,4.2923552,Italian,https://www.google.com/maps/search/Pizzeria+Santa+Maria+Fabriekstraat+138,,,
1,La Buca di Bacco,"Brussels, Belgium",50.8634325,4.3766752,Italian,"https://www.google.com/maps/search/La+Buca+di+Bacco+Brussels,+Belgium",,,
1,ag park,"Brussels, Belgium",50.8540141,4.3532683,American,"https://www.google.com/maps/search/ag+park+Brussels,+Belgium",,,
1,La Table Saint-Pierre,"Brussels, Belgium",50.8371319,4.4180123,French,"https://www.google.com/maps/search/La+Table+Saint-Pierre+Brussels,+Belgium",,,
1,Il Carrettino,"Peperstraat 2, 3080, Tervuren",50.8228791,4.513138,Italian_Pizza,"https://www.google.com/maps/search/Il+Carrettino+Peperstraat+2,+3080,+Tervuren",,,
1,Krob Kun,"Brussels, Belgium",50.8717133,4.3256707,Thai,"https://www.google.com/maps/search/Krob+Kun+Brussels,+Belgium",,,
1,La Penisola,"Brussels, Belgium",50.8740097,4.3232077,Italian,"https://www.google.com/maps/search/La+Penisola+Brussels,+Belgium",,,
1,Osaka,"Brussels, Belgium",50.8776847,4.505837,Japanese,"https://www.google.com/maps/search/Osaka+Brussels,+Belgium",,,
1,Deliwok,"Brussels, Belgium",50.9175914,4.5039799,Chinese,"https://www.google.com/maps/search/Deliwok+Brussels,+Belgium",,,
1,Le Lotus Bleu,"Brussels, Belgium",50.8997597,4.3273097,Japanese,"https://www.google.com/maps/search/Le+Lotus+Bleu+Brussels,+Belgium",,,
1,Pizza Hut,"Brussels, Belgium",50.7860982,4.5005683,Italian,"https://www.google.com/maps/search/Pizza+Hut+Brussels,+Belgium",,,
