osm_id,name,address,lat,lng,cuisine,google_rating,google_review_count,google_place_id,notes
2213731072,Pizza Biologica,"Brussels, Belgium",50.8142107,4.4339548,Italian,,,,
2239986195,Exki,"Brussels, Belgium",50.8335025,4.3569982,Healthy,,,,
2241291624,Easy Pasta,"Brussels, Belgium",50.8727622,4.3536772,Restaurant,,,,
2279446187,Les Rives du Gange,"Brussels, Belgium",50.8013511,4.4219225,Indian,,,,
2279446192,Pizza Hut,"Brussels, Belgium",50.8142946,4.4267987,Italian,,,,
2279446207,Chez Arthur,"Brussels, Belgium",50.8116847,4.4319365,French,,,,
2287030554,Vinograd,"Kerkplein 30, 1930, Zaventem",50.8813682,4.4729627,Croatian,,,,
2298697317,Umamido,"Brussels, Belgium",50.8394325,4.3997023,Ramen,,,,
2301534630,Quick,"Brussels, Belgium",50.7795623,4.2997772,American,,,,
2302371944,Canterbury,"Brussels, Belgium",50.823753,4.3741641,Restaurant,,,,
2321648931,Les Deux Petits Diables,"Brussels, Belgium",50.8142235,4.434088,Italian,,,,
2322508760,Snack Belgica,"Brussels, Belgium",50.8677411,4.3349738,Restaurant,,,,
2323720718,Peppermint Park,"Brussels, Belgium",50.8728361,4.3236816,Restaurant,,,,
2324639470,Il Cappuccino,"Brussels, Belgium",50.8730516,4.3247433,Restaurant,,,,
2325405537,tulipe,"Brussels, Belgium",50.8402188,4.4028808,Coffee_Shop,,,,
2325434012,Osteria Zerodue,"Brussels, Belgium",50.8403754,4.4118755,Italian,,,,
2325789943,Le Saint Paul,"Brussels, Belgium",50.816361,4.4265951,American,,,,
2325790936,Bosphorus,"Brussels, Belgium",50.8162782,4.4281032,Kebab,,,,
2326322371,Frite Dorée,"Brussels, Belgium",50.8783564,4.3290505,Friture,,,,
2329109281,Frank.,"Brussels, Belgium",50.8498531,4.3545561,Brunch,,,,
2329109390,CoCo Fresh Tea & Juice,"Brussels, Belgium",50.8504846,4.3546054,Bubble_Tea,,,,
2329200784,Ninja Restaurant,"Brussels, Belgium",50.8769681,4.3266331,Japanese,,,,
2329221572,Le Central,"Brussels, Belgium",50.8771224,4.3261201,Bistro,,,,
2333054345,Hector Chicken,"Brussels, Belgium",50.8186564,4.3630953,Chicken,,,,
2333276420,La Roue d'Or,"Brussels, Belgium",50.8456383,4.3525085,French,,,,
2333276506,Hellas,"Brussels, Belgium",50.8459391,4.3528808,Greek,,,,
2333276604,Tonton Garby,"Brussels, Belgium",50.8451621,4.3548214,Sandwich,,,,
2333276696,L'Express,"Brussels, Belgium",50.846042,4.3528043,Lebanese,,,,
2334377813,Hill's Burger,"Brussels, Belgium",50.8429599,4.4085277,American,,,,
2334377817,Côté Sushi,"Brussels, Belgium",50.842906,4.4092194,Japanese,,,,
2334377822,Maya Poké Bowl,"Brussels, Belgium",50.8429014,4.4090049,Restaurant,,,,
2338171997,Poppins,"Brussels, Belgium",50.8512228,4.397058,Italian,,,,
2338172015,Le Saint-Georges,"Brussels, Belgium",50.849952,4.3933587,Restaurant,,,,
2338172016,Chez Tom,"Brussels, Belgium",50.8502331,4.3944772,Restaurant,,,,
2338614351,Vallée du Kashmir,"Brussels, Belgium",50.8230725,4.3582685,Restaurant,,,,
2338884060,Brasero,"Brussels, Belgium",50.8462888,4.4151866,Restaurant,,,,
2339370203,Palasi Latino,"Brussels, Belgium",50.8588786,4.3913436,Latin_American,,,,
2339843290,Madou's Folie,"Brussels, Belgium",50.8487834,4.3666289,Regional,,,,
2339843343,Basils,"Brussels, Belgium",50.8494644,4.3658962,Italian,,,,
2339843363,La Bottega,"Brussels, Belgium",50.8483884,4.3644704,Italian,,,,
2339843382,Ah non peut-être !,"Brussels, Belgium",50.848226,4.36499,Regional,,,,
2341205042,Agora,"Brussels, Belgium",50.8479706,4.364618,Italian,,,,
2341205071,Bonjour Colette,"Brussels, Belgium",50.8480011,4.3647704,Restaurant,,,,
2341205164,Bambou Rouge,"Brussels, Belgium",50.84875,4.3675184,Thai,,,,
2342974245,Villa Singha,"Brussels, Belgium",50.820583,4.4078028,Thai,,,,
2342974246,Noko,"Brussels, Belgium",50.8205302,4.4086039,Coffee_Shop,,,,
2344231192,Snack au Petit Creux,"Brussels, Belgium",50.8518004,4.3850705,Restaurant,,,,
2344231196,La Ruota,"Brussels, Belgium",50.8521887,4.3865062,Italian,,,,
2344231203,Snack Efes,"Brussels, Belgium",50.8528376,4.3891202,Kebab,,,,
2344380195,Snack Saint-Antoine,"Brussels, Belgium",50.8301919,4.3863548,Restaurant,,,,
2345001230,De Bruxelles et d'Ailleurs,"Brussels, Belgium",50.849507,4.3667853,International,,,,
2345001298,Bybreak,"Brussels, Belgium",50.8500871,4.3676689,Sandwich,,,,
2345001354,Garden City,"Brussels, Belgium",50.8499377,4.3665137,French,,,,
2345001387,Café Caberdouche,"Brussels, Belgium",50.8499017,4.3666768,French,,,,
2345001393,Los Chiringuitos,"Brussels, Belgium",50.8497489,4.3669493,Tapas,,,,
2345001396,Senraku,"Brussels, Belgium",50.8485824,4.3683423,Japanese,,,,
