h3_index,mean_rating,mean_residual,total_reviews,mean_reviews,chain_share,mean_price,cuisine_diversity,restaurant_count,hub_score,cluster,cluster_label,hex_lat,hex_lng
881fa440bbfffff,3.65,0.011329185284916221,53,26.5,0.0,2.0,2,2,-0.8572739423797952,1,Strong,50.88232548976016,4.441691139016913
881fa440bdfffff,4.5,-0.03128636375609961,23,23.0,0.0,2.0,1,1,-1.2222669710155945,1,Strong,50.876934752948245,4.421263388228468
881fa440c1fffff,4.45,0.06461439441643346,3439,1719.5,0.0,2.0,1,2,0.7145853814498392,0,Emerging,50.905563273091815,4.394009572450265
881fa440c3fffff,4.3,-0.006471146526968674,126,126.0,0.0,2.0,1,1,-1.047832097889919,1,Strong,50.90478138287246,4.406117896348483
881fa440c5fffff,4.7,0.042183968711129616,515,515.0,0.0,2.0,1,1,-0.6756132187112102,1,Strong,50.899385171113934,4.385691284967189
881fa440c7fffff,4.0,0.17392523369150195,89,29.666666666666668,0.0,2.0,3,3,-0.6589693912832381,1,Strong,50.898603838063764,4.397797910465034
881fa440cbfffff,4.475,-0.02611790578449591,824,206.0,0.0,1.75,2,4,-0.9909006646858705,1,Strong,50.91174061787155,4.40232984432338
881fa440cdfffff,4.566666666666666,-0.16638132517277496,89,29.666666666666668,0.0,2.0,2,3,-1.1778738352246343,1,Strong,50.90634383701222,4.38190198965772
881fa440d3fffff,4.416666666666667,0.026052756211834522,572,95.33333333333333,0.0,1.6666666666666667,4,6,-0.8207774148171454,1,Strong,50.90938929366325,4.438662128691702
881fa440d5fffff,4.4,-0.1087390799971244,177,177.0,0.0,2.0,1,1,-1.094910330096472,1,Strong,50.903998166092656,4.418226960338828
881fa440d7fffff,3.7,-0.15479394821754822,47,47.0,0.0,2.0,1,1,-1.1196828719917615,1,Strong,50.903213622491215,4.4303367634073005
881fa440dbfffff,4.4375,0.02008399250543136,2595,324.375,0.125,1.875,5,8,-0.10239160598028976,1,Strong,50.91634986641601,4.434876281061909
